"sep=,"
!((defined(__amd64__) || defined(__x86_64__) || defined(JEMALLOC_HAVE_BUILTIN_CLZ))),3
defined(__linux__) || defined(__sun),2
!defined(CHECK_INPUT),1
!(defined(COVERAGE_TEST)),1
(!(defined(JEMALLOC_SYSCTL_VM_OVERCOMMIT))) && (!(defined(JEMALLOC_PROC_SYS_VM_OVERCOMMIT_MEMORY))),2
(defined __linux || defined __APPLE__),2
defined(JEMALLOC_GCC_ATOMIC_ATOMICS) || defined(JEMALLOC_GCC_SYNC_ATOMICS) || defined(_MSC_VER),3
!defined(_GNU_SOURCE),1
defined(JEMALLOC_INTERNAL_TSD_TLS_H),1
(((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (defined(__OpenBSD__))) && (!(defined(__i386__)))) && (defined(__x86_64__)),8
defined(__GNUC__),1
(((defined(HAVE_BACKTRACE)) && (defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6))) && (!(defined(_STRUCT_X86_THREAD_STATE64) && !defined(__i386__)))) && (defined(__i386__)),5
((defined(__i386__) || defined(JEMALLOC_HAVE_BUILTIN_CLZ)) && (!defined(__s390__))),3
defined(JEMALLOC_USE_SYSCALL) && defined(SYS_read),2
defined(JEMALLOC_BACKGROUND_THREAD),1
!((LUA_VERSION_NUM < 503) && BITS_32),2
!defined(HAVE_LIBSYSTEMD),1
!defined(RAX_MALLOC_INCLUDE),1
defined(LUA_COMPAT_VARARG),1
((!(!defined(JEMALLOC_BACKGROUND_THREAD))) && (!(defined(JEMALLOC_HAVE_PTHREAD_SETNAME_NP)))) && (defined(__FreeBSD__)),3
defined(JEMALLOC_DEBUG),1
(!defined(LG_QUANTUM)) && (defined(__riscv) || defined(__riscv__)),3
!defined(BYTE_ORDER) || (BYTE_ORDER != BIG_ENDIAN && BYTE_ORDER != LITTLE_ENDIAN),3
defined(assert),1
!(!defined(_WIN32)),1
(!defined(LG_QUANTUM)) && (defined(__powerpc__)),2
!defined(AVOID_ERRNO),1
defined(MT19937_64_MAIN),1
(!defined(LZF_USE_OFFSETS)) && (defined (WIN32)),2
(defined(USE_OPENSSL)) && (defined(SSL_OP_NO_TLSv1_2)),2
!(defined(__cplusplus)),1
(!(defined(JEMALLOC_PURGE_MADVISE_DONTNEED) && defined(JEMALLOC_PURGE_MADVISE_DONTNEED_ZEROS))) && (defined(JEMALLOC_MAPS_COALESCE)),3
(SC_NBINS > 256),1
defined(__sun) || defined(_AIX),2
!defined(SIZE_T_MAX),1
(!(defined(luaall_c))) && (!(defined(__GNUC__) && ((__GNUC__*100 + __GNUC_MINOR__) >= 302) && defined(__ELF__))),4
(((!((defined(__i386__) || defined(__amd64__) || defined(__x86_64__)))) && ((defined(_MSC_VER)))) && (!((LG_SIZEOF_PTR == 3)))) && (!((LG_SIZEOF_PTR == 2))),5
(!(defined(JEMALLOC_MALLOC_THREAD_CLEANUP))) && ((defined(JEMALLOC_TLS))),2
(!(LG_SIZEOF_PTR == LG_SIZEOF_INT)) && (LG_SIZEOF_PTR == LG_SIZEOF_LONG),3
defined(JEMALLOC_MALLOC_THREAD_CLEANUP),1
defined(LUA_COMPAT_OPENLIB),1
(!(!defined(JEMALLOC_BACKGROUND_THREAD))) && (defined(JEMALLOC_HAVE_PTHREAD_SETNAME_NP)),2
!(defined(LUA_COMPAT_GETN)),1
defined(ONLY64),1
(((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (defined(__FreeBSD__)),5
((!defined(FRST)) && (!(ULTRA_FAST))) && (!(VERY_FAST)),3
(!(defined(_M_ARM) || defined(_M_ARM64))) && (defined(_M_IX86) || defined (_M_X64)),4
(((!(defined(HAVE_PROC_STAT))) && (!(defined(HAVE_TASKINFO)))) && (!(defined(__FreeBSD__) || defined(__DragonFly__)))) && (defined(__NetBSD__) || defined(__OpenBSD__)),6
!(ULTRA_FAST || VERY_FAST),2
(defined(LUA_BUILD_AS_DLL)) && (defined(LUA_CORE) || defined(LUA_LIB)),3
defined(BITMAP_USE_TREE),1
UINTPTR_MAX == 0xffffffff,1
!((BYTE_ORDER == LITTLE_ENDIAN)),2
((defined(__linux__)) && (defined(__arm64__))) && (!defined(MADV_FREE)),3
(((defined(__unix__) || defined(__unix) || defined(unix) || (defined(__APPLE__) && defined(__MACH__))) && (defined(CTL_HW) && (defined(HW_MEMSIZE) || defined(HW_PHYSMEM64)))) && (!(defined(HW_MEMSIZE)))) && (defined(HW_PHYSMEM64)),8
!(defined(HAVE_DEFRAG)),1
UNSAFE_CRASH_REPORT,1
defined(USE_JEMALLOC) && defined(JEMALLOC_FRAG_HINT),2
defined(__sun),1
(((!defined(BYTE_ORDER)) && (defined(__BYTE_ORDER))) && (defined(__LITTLE_ENDIAN) && defined(__BIG_ENDIAN))) && (!defined(LITTLE_ENDIAN)),5
(!(defined(_MSC_VER) && !defined(__clang__))) && (!((defined(__GNUC__) && ((__GNUC__ > 4) || ((__GNUC__ == 4) && (__GNUC_MINOR__ > 5)))) || defined(__clang__))),4
(LG_SIZEOF_PTR == 3 && !defined(JEMALLOC_BIG_ENDIAN)),2
((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (defined(__FreeBSD__))) && (!(defined(__i386__)))) && (defined(__x86_64__)),7
!(defined(JEMALLOC_MADVISE_DONTDUMP)),1
(!defined(LG_QUANTUM)) && (defined(__hppa__)),2
!(defined(_WIN32)),1
defined(JEMALLOC_THREADED_INIT),1
(!(defined(__linux__) || defined(__OpenBSD__))) && (!defined(__NetBSD__)),3
(((!((defined(__i386__) || defined(__amd64__) || defined(__x86_64__)))) && ((defined(_MSC_VER)))) && (!((LG_SIZEOF_PTR == 3)))) && ((LG_SIZEOF_PTR == 2)),5
defined(INIT_SETPROCTITLE_REPLACEMENT),1
((((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (!(defined(__OpenBSD__)))) && (defined(__NetBSD__))) && (!(defined(__i386__)))) && (defined(__x86_64__)),9
(defined(USE_OPENSSL)) && (OPENSSL_VERSION_NUMBER < 0x10100000L),2
(((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (!(defined(__OpenBSD__)))) && (defined(__NetBSD__))) && (defined(__i386__)),8
(BYTE_ORDER == LITTLE_ENDIAN),2
MEXP == 607,1
USE_REP_MOVSB,1
!(defined(USE_OPENSSL)),1
((!HAVE_SETPROCTITLE) && ((defined __linux || defined __APPLE__))) && (defined(__GLIBC__)),4
(((!(defined(HAVE_PROC_STAT))) && (!(defined(HAVE_TASKINFO)))) && (defined(__FreeBSD__) || defined(__DragonFly__))) && (defined(__FreeBSD__)),4
((!defined(_MSC_STDINT_H_)) && (!defined(__cplusplus) || defined(__STDC_LIMIT_MACROS))) && (!defined(WCHAR_MAX)),4
defined(LUA_USE_APICHECK),1
__GNUC__ >= 3,1
(defined(LUA_NUMBER_DOUBLE)) && (!(defined(SWAPPED_DOUBLE))),2
!(defined(USE_INTERNAL_FPCONV)),1
(defined(__has_attribute)) && (__has_attribute(no_sanitize)),1
!(__GNUC__ >= 3),1
!(defined(USE_JEMALLOC)),1
(defined(_MSC_VER)) && (!(defined(_M_X64))),2
defined(BIG_ENDIAN64) && !defined(ONLY64) && !defined(HAVE_ALTIVEC),3
((!defined(ZMALLOC_LIB)) && (!defined(NO_MALLOC_USABLE_SIZE) && (defined(__GLIBC__) || defined(__FreeBSD__) || defined(USE_MALLOC_USABLE_SIZE)))) && (defined(__FreeBSD__)),5
(defined(__sun)) && (defined(_DTRACE_VERSION)),2
(defined(USE_OPENSSL)) && (defined(SSL_OP_NO_CLIENT_RENEGOTIATION)),2
((!(defined(LUA_DL_DLOPEN))) && (!(defined(LUA_DL_DLL)))) && (!(defined(LUA_DL_DYLD))),3
!defined(_WIN32),1
defined(_WIN32) && _WIN32_WINNT < 0x0600,2
LUAI_BITSINT > 26,1
defined(_GNU_SOURCE),1
(!(defined(__cplusplus))) && (!(defined(LUA_USE_ULONGJMP))),2
((!defined(REDISMODULE_CORE)) && (!defined(REDISMODULE_ATTR_PRINTF))) && (!(defined(__GNUC__))),3
(!(BYTE_ORDER == LITTLE_ENDIAN)) && (BYTE_ORDER == BIG_ENDIAN),3
(!((ULONG_MAX == 4294967295UL))) && (!((ULONG_MAX == 18446744073709551615ULL))),1
defined(JEMALLOC_OVERRIDE_MEMALIGN),1
!(defined(__APPLE__)),1
(!(!defined(JEMALLOC_BACKGROUND_THREAD))) && (defined(JEMALLOC_PTHREAD_CREATE_WRAPPER)),2
!(!defined(JEMALLOC_MUTEX_INIT_CB)),1
((!defined(_MSC_STDINT_H_)) && (!defined(_W64))) && (!defined(__midl) && (defined(_X86_) || defined(_M_IX86)) && _MSC_VER >= 1300),6
defined(__cplusplus),1
(!defined(REDISMODULE_CORE)) && (!defined(REDISMODULE_ATTR)),2
(((!(defined(_WIN32))) && (!((defined(JEMALLOC_OS_UNFAIR_LOCK))))) && (!((defined(JEMALLOC_MUTEX_INIT_CB))))) && (!(defined(JEMALLOC_DEBUG))),4
defined(SHA1HANDSOFF),1
((!(defined(HAVE_EVPORT))) && (!(defined(HAVE_EPOLL)))) && (defined(HAVE_KQUEUE)),3
(!(defined(JEMALLOC_HAVE_SECURE_GETENV))) && (defined(JEMALLOC_HAVE_ISSETUGID)),2
(((!HAVE_SETPROCTITLE) && ((defined __linux || defined __APPLE__))) && (!(__linux__))) && (__APPLE__),4
defined(LUA_WIN),1
(!(defined(HAVE_ALTIVEC))) && (!(defined(HAVE_SSE2))),2
!defined(__clang__),1
(defined(_WIN32)) && (defined(_WIN64)),2
(LUA_VERSION_NUM < 503) && BITS_32,2
((!HAVE_SETPROCTITLE) && ((defined __linux || defined __APPLE__))) && (!defined(SPT_MIN)),4
!(BITS_32),1
!defined(SSIZE_MAX),1
((defined(JEMALLOC_IS_MALLOC) && defined(JEMALLOC_GLIBC_MALLOC_HOOK)) && (defined(CPU_COUNT))) && (defined(JEMALLOC_OVERRIDE___POSIX_MEMALIGN)),4
((__i386 || __amd64 || __powerpc__) && __GNUC__) && ((defined(__GLIBC__) && defined(__GLIBC_PREREQ))),6
(((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (defined(__FreeBSD__))) && (!(defined(__x86_64__)))) && (defined(__i386__)),7
!(defined(USE_SETPROCTITLE)),1
!(defined (WIN32) && defined (_M_X64)),2
((!(defined(LUA_NUMBER_DOUBLE))) && (!(defined(LUA_NUMBER_INT) || defined(LUA_NUMBER_LONG) || defined(LUA_NUMBER_LONGLONG) || defined(LUA_NUMBER_LONG_LONG) || defined(LUA_NUMBER_LLONG)))) && (!(defined(LUA_NUMBER_FLOAT))),7
(!defined(LG_QUANTUM)) && (defined(__alpha__)),2
((((!(MEXP == 607)) && (!(MEXP == 1279))) && (!(MEXP == 2281))) && (!(MEXP == 4253))) && (MEXP == 11213),1
